company_name,company_url,industry,rating,reviews,headquarter,other_locations_count,highly_rated_for,critically_rated_for,salaries,interviews,jobs,benefits,photos
Amazon,https://www.ambitionbox.com/overview/amazon-overview,Internet,3.9,33700.0,Bengaluru,554,"Company Culture, Work Life Balance, Salary",,160000.0,6.2k,66,3.5k,106
Reliance Retail,https://www.ambitionbox.com/overview/reliance-retail-overview,Retail,3.9,28900.0,Mumbai,1199,"Job Security, Work Life Balance, Skill Development",,76200.0,2k,71,1.9k,163
iEnergizer,https://www.ambitionbox.com/overview/ienergizer-overview,BPO,4.5,28300.0,Noida,57,"Company Culture, Job Security, Skill Development",,25400.0,1.8k,75,989,33
LTM Limited,https://www.ambitionbox.com/overview/ltm-limited-overview,IT Services & Consulting,3.6,28100.0,Bengaluru,159,,"Promotions, Salary, Work Satisfaction",200000.0,3.5k,524,933,34
HDB Financial Services,https://www.ambitionbox.com/overview/hdb-financial-services-overview,NBFC,3.9,27400.0,Mumbai,1136,Work Life Balance,,48700.0,1.2k,10,1.4k,84
IBM,https://www.ambitionbox.com/overview/ibm-overview,IT Services & Consulting,3.9,27200.0,Bengaluru,177,"Work Life Balance, Company Culture, Job Security",,220000.00000000003,2.7k,436,2.7k,24
Larsen & Toubro Limited,https://www.ambitionbox.com/overview/larsen-and-toubro-limited-overview,Engineering & Construction,3.9,25600.0,Mumbai,818,"Job Security, Skill Development, Salary",,77200.0,2k,257,2.7k,74
Deloitte,https://www.ambitionbox.com/overview/deloitte-overview,Management Consulting,3.6,25200.0,Hyderabad,213,,"Promotions, Work Life Balance, Work Satisfaction",280000.0,3.5k,414,2.6k,19
Kotak Mahindra Bank,https://www.ambitionbox.com/overview/kotak-mahindra-bank-overview,Banking,3.6,23800.0,Mumbai,715,,"Promotions, Work Satisfaction, Company Culture",88100.0,1.5k,133,1.4k,46
Reliance Industries,https://www.ambitionbox.com/overview/reliance-industries-overview,Oil & Gas,4.0,21500.0,Jamnagar,848,"Job Security, Work Life Balance, Skill Development",,75700.0,1.7k,80,2k,41
Vodafone Idea,https://www.ambitionbox.com/overview/vodafone-idea-overview,Telecom,3.9,18300.0,Pune,733,"Salary, Company Culture, Work Life Balance",,48600.0,727,56,2k,23
Bharti Airtel,https://www.ambitionbox.com/overview/bharti-airtel-overview,Telecom,3.8,18100.0,Gurugram,821,,Promotions,50400.0,1.2k,183,1.6k,105
BYJU'S,https://www.ambitionbox.com/overview/byjus-overview,EdTech,3.2,16500.0,Bengaluru,324,,"Job Security, Company Culture, Work Life Balance",49300.0,2.1k,5,1.7k,28
WNS,https://www.ambitionbox.com/overview/wns-overview,IT Services & Consulting,3.3,16300.0,Pune,72,,"Promotions, Salary, Skill Development",70900.0,1.3k,37,1.4k,24
IDFC FIRST Bank,https://www.ambitionbox.com/overview/idfc-first-bank-overview,Banking,4.0,16200.0,Mumbai,761,"Salary, Company Culture, Work Life Balance",,50900.0,1.1k,136,846,30
Ernst & Young,https://www.ambitionbox.com/overview/ernst-young-overview,Management Consulting,3.4,15800.0,Bengaluru,148,,"Promotions, Work Life Balance, Work Satisfaction",150000.0,1.4k,3.7k,1.1k,11
IndusInd Bank,https://www.ambitionbox.com/overview/indusind-bank-overview,Banking,3.4,15200.0,Mumbai,823,,"Promotions, Company Culture, Work Satisfaction",52700.0,804,127,850,17
AU Small Finance Bank,https://www.ambitionbox.com/overview/au-small-finance-bank-overview,Banking,3.8,15200.0,Jaipur,839,,Promotions,31100.0,745,5.6k,644,28
Tata Motors,https://www.ambitionbox.com/overview/tata-motors-overview,Automobile,4.1,15000.0,Pune,526,"Company Culture, Work Life Balance, Job Security",,44300.0,1.4k,45,1.7k,60
Bajaj Finserv,https://www.ambitionbox.com/overview/bajaj-finserv-overview,NBFC,3.9,14600.0,Pune,1275,"Salary, Skill Development, Job Security",,32700.000000000004,845,3,776,25
Flipkart,https://www.ambitionbox.com/overview/flipkart-overview,Internet,3.9,13900.0,Bengaluru,579,"Company Culture, Skill Development, Salary",,57400.0,1.8k,75,1.4k,117
PwC,https://www.ambitionbox.com/overview/pwc-overview,Management Consulting,3.3,13800.0,Bengaluru,151,,"Promotions, Work Life Balance, Work Satisfaction",130000.0,1.7k,1.5k,913,24
Muthoot FinCorp,https://www.ambitionbox.com/overview/muthoot-fincorp-overview,NBFC,4.5,13700.0,Bengaluru,1144,"Company Culture, Work Life Balance, Job Security",,10000.0,2.4k,61,335,108
Mahindra & Mahindra,https://www.ambitionbox.com/overview/mahindra-and-mahindra-overview,Automobile,4.0,12900.0,Pune,586,"Job Security, Skill Development, Company Culture",,41800.0,925,3,1.2k,22
HDFC Life,https://www.ambitionbox.com/overview/hdfc-life-overview,Insurance,3.8,13000.0,Mumbai,744,Skill Development,,34200.0,857,204,675,60
Infosys BPM,https://www.ambitionbox.com/overview/infosys-bpm-overview,BPO,3.5,12800.0,Bengaluru,101,Job Security,,79400.0,1.1k,222,1.2k,15
DXC Technology,https://www.ambitionbox.com/overview/dxc-technology-overview,IT Services & Consulting,3.6,12500.0,Bengaluru,135,Work Life Balance,,73700.0,920,107,1.2k,9
Bandhan Bank,https://www.ambitionbox.com/overview/bandhan-bank-overview,Banking,3.6,12300.0,Kolkata,1069,,"Promotions, Work Satisfaction, Company Culture",27800.0,805,--,608,53
Digitide Solutions,https://www.ambitionbox.com/overview/conneqt-business-solutions-overview,IT Services & Consulting,3.4,11100.0,Hyderabad,292,,"Promotions, Salary, Work Satisfaction",27200.0,605,334,798,49
Yes Bank,https://www.ambitionbox.com/overview/yes-bank-overview,Banking,3.6,10900.0,Mumbai,549,,"Job Security, Promotions, Company Culture",43000.0,588,160,651,19
Mphasis,https://www.ambitionbox.com/overview/mphasis-overview,IT Services & Consulting,3.3,10800.0,Bengaluru,70,,"Promotions, Salary, Work Satisfaction",75300.0,964,55,884,148
Tata Steel,https://www.ambitionbox.com/overview/tata-steel-overview,Iron & Steel,4.0,10600.0,Jamshedpur,238,"Work Life Balance, Job Security, Skill Development",,34900.0,1.1k,--,704,53
Quess,https://www.ambitionbox.com/overview/quess-overview,Recruitment,3.8,10500.0,Bengaluru,786,,"Promotions, Job Security",32100.0,565,5,479,27
UltraTech Cement,https://www.ambitionbox.com/overview/ultratech-cement-overview,Building Material,4.1,10300.0,Mumbai,563,"Job Security, Skill Development, Company Culture",,25500.0,870,92,694,51
Asian Paints,https://www.ambitionbox.com/overview/asian-paints-overview,Chemicals,3.9,10300.0,Mumbai,578,"Salary, Skill Development, Job Security",,26900.0,923,96,953,37
Maruti Suzuki,https://www.ambitionbox.com/overview/maruti-suzuki-overview,Automobile,4.1,10200.0,Gurugram,479,"Job Security, Salary, Company Culture",,29500.0,849,709,1k,32
Startek,https://www.ambitionbox.com/overview/startek-overview,BPO,3.0,10200.0,Bengaluru,112,,"Promotions, Salary, Company Culture",25100.0,696,275,726,16
Bajaj Finance,https://www.ambitionbox.com/overview/bajaj-finance-overview,NBFC,3.9,10100.0,Pune,1063,"Salary, Skill Development, Job Security",,23900.0,476,7.8k,554,26
Paytm,https://www.ambitionbox.com/overview/paytm-overview,FinTech,3.2,9900.0,Noida,453,,"Job Security, Company Culture, Promotions",35000.0,939,1.1k,590,26
Sutherland Global Services,https://www.ambitionbox.com/overview/sutherland-global-services-overview,BPO,3.3,9800.0,Chennai,92,,"Promotions, Salary, Work Satisfaction",37300.0,851,453,960,35
Shriram Finance,https://www.ambitionbox.com/overview/shriram-finance-overview,NBFC,3.9,9700.0,Chennai,1153,"Job Security, Work Life Balance",,16100.000000000002,489,7,100,54
Coforge,https://www.ambitionbox.com/overview/coforge-overview,IT Services & Consulting,3.3,9500.0,Hyderabad,118,,"Promotions, Work Satisfaction, Job Security",69300.0,1k,322,466,106
Equitas Small Finance Bank,https://www.ambitionbox.com/overview/equitas-small-finance-bank-overview,Banking,4.3,9400.0,Chennai,492,"Company Culture, Work Life Balance, Job Security",,14100.0,1k,74,475,44
Wells Fargo,https://www.ambitionbox.com/overview/wells-fargo-overview,Financial Services,3.5,9300.0,Bengaluru,32,,"Promotions, Skill Development, Work Satisfaction",67200.0,723,117,924,15
Cipla,https://www.ambitionbox.com/overview/cipla-overview,Pharma,4.1,9100.0,Mumbai,306,"Salary, Work Life Balance, Skill Development",,26800.0,638,40,911,24
EXL Service,https://www.ambitionbox.com/overview/exl-service-overview,Analytics & KPO,3.6,9100.0,Noida,67,Job Security,,45400.0,957,147,841,21
Ericsson,https://www.ambitionbox.com/overview/ericsson-overview,Telecom,3.9,8800.0,Noida,170,"Work Life Balance, Company Culture",,42400.0,488,22,1k,18
Samsung,https://www.ambitionbox.com/overview/samsung-overview,Consumer Electronics & Appliances,3.9,8700.0,Noida,598,Salary,,26700.0,651,64,562,17
Dr. Reddy's,https://www.ambitionbox.com/overview/dr-dot-reddys-overview,Pharma,4.0,8700.0,Hyderabad,222,"Company Culture, Work Life Balance, Skill Development",,26500.0,554,50,779,30
JSW Steel,https://www.ambitionbox.com/overview/jsw-steel-overview,Iron & Steel,3.9,8600.0,Ballari,212,"Job Security, Skill Development",,32500.0,907,158,666,39
Delhivery,https://www.ambitionbox.com/overview/delhivery-overview,Logistics,3.8,8500.0,Gurugram,812,,Promotions,23200.0,651,348,671,82
Optum Global Solutions,https://www.ambitionbox.com/overview/optum-global-solutions-overview,IT Services & Consulting,4.0,8500.0,Hyderabad,71,"Job Security, Company Culture, Work Life Balance",,53300.0,808,299,743,9
Hexaware Technologies,https://www.ambitionbox.com/overview/hexaware-technologies-overview,IT Services & Consulting,3.4,8300.0,Chennai,73,,"Promotions, Salary, Work Satisfaction",57000.0,871,1.6k,605,30
Ekart Logistics,https://www.ambitionbox.com/overview/ekart-logistics-overview,Logistics,3.9,8300.0,Bengaluru,777,Skill Development,,17900.0,432,--,445,96
JPMorgan Chase & Co.,https://www.ambitionbox.com/overview/jpmorgan-chase-and-co-dot-overview,Financial Services,3.8,8200.0,Bengaluru,68,"Job Security, Salary",,93900.0,909,284,899,14
ICICI Prudential Life Insurance,https://www.ambitionbox.com/overview/icici-prudential-life-insurance-overview,Insurance,3.9,8200.0,Mumbai,524,"Job Security, Salary, Skill Development",,23000.0,505,29,647,16
Ujjivan Small Finance Bank,https://www.ambitionbox.com/overview/ujjivan-small-finance-bank-overview,Banking,4.0,8200.0,Bengaluru,569,"Company Culture, Work Life Balance, Skill Development",,13700.0,352,194,607,27
Jana Small Finance Bank,https://www.ambitionbox.com/overview/jana-small-finance-bank-overview,Banking,3.7,8200.0,Bengaluru,443,Salary,,14000.0,327,130,625,19
Zydus Lifesciences,https://www.ambitionbox.com/overview/zydus-lifesciences-overview,Pharma,4.0,8100.0,Ahmedabad,191,"Salary, Skill Development, Company Culture",,20600.0,601,28,732,21
Sun Pharmaceutical Industries,https://www.ambitionbox.com/overview/sun-pharmaceutical-industries-overview,Pharma,4.0,8100.0,Vadodara,270,"Salary, Skill Development, Job Security",,24100.0,731,301,648,8
KPMG India,https://www.ambitionbox.com/overview/kpmg-india-overview,Management Consulting,3.4,7900.0,Bengaluru,125,,"Promotions, Work Life Balance, Work Satisfaction",71800.0,978,50,793,10
HGS,https://www.ambitionbox.com/overview/hinduja-global-solutions-overview,Emerging Technologies,3.7,7800.0,Bengaluru,125,,"Promotions, Salary",20100.0,282,36,971,33
Axis Max Life Insurance,https://www.ambitionbox.com/overview/axis-max-life-insurance-overview,Insurance,4.0,7800.0,New,Delhi,"Company Culture, Work Life Balance, Job Security",,20900.0,447,2.5k,569,22
Lupin,https://www.ambitionbox.com/overview/lupin-overview,Pharma,4.1,7800.0,Pune,210,"Company Culture, Skill Development, Work Life Balance",,22700.0,466,74,801,11
ITC,https://www.ambitionbox.com/overview/itc-overview,FMCG,3.8,7700.0,Bengaluru,399,"Job Security, Skill Development",,25700.0,734,36,670,19
Virtusa Consulting Services,https://www.ambitionbox.com/overview/virtusa-consulting-services-overview,IT Services & Consulting,3.6,6500.0,Hyderabad,58,,"Promotions, Job Security, Salary",57900.0,702,257,350,23
SMFG India Credit,https://www.ambitionbox.com/overview/fullerton-india-overview,NBFC,3.9,6500.0,Mumbai,626,Salary,,11500.0,229,103,370,23
HSBC Group,https://www.ambitionbox.com/overview/hsbc-group-overview,Financial Services,3.8,6400.0,Bengaluru,68,"Work Life Balance, Company Culture, Job Security",,46300.0,573,111,1.2k,26
Access Healthcare,https://www.ambitionbox.com/overview/access-healthcare-overview,BPO,3.7,6400.0,Chennai,64,,"Promotions, Skill Development",30400.0,428,771,399,9
bigbasket,https://www.ambitionbox.com/overview/bigbasket-overview,Internet,3.9,6300.0,Bengaluru,152,Job Security,,20400.0,527,91,420,36
Manappuram Finance,https://www.ambitionbox.com/overview/manappuram-finance-overview,NBFC,4.0,6300.0,Bengaluru,692,"Work Life Balance, Skill Development",,9700.0,243,8,260,38
GlobalLogic,https://www.ambitionbox.com/overview/globallogic-overview,IT Services & Consulting,3.5,6200.0,Hyderabad,65,,"Promotions, Salary, Work Satisfaction",42900.0,712,53,560,21
HCL Group,https://www.ambitionbox.com/overview/hcl-overview,IT Services & Consulting,3.5,6200.0,Chennai,106,,"Promotions, Salary, Work Satisfaction",38500.0,529,--,659,1
Swiggy,https://www.ambitionbox.com/overview/swiggy-overview,Internet,3.7,6200.0,Bengaluru,253,,"Job Security, Promotions, Work Life Balance",25200.0,626,221,389,22
ICICI Lombard General Insurance Company,https://www.ambitionbox.com/overview/icici-lombard-general-insurance-company-limited-overview,Insurance,3.5,6200.0,Mumbai,331,,"Promotions, Work Satisfaction, Company Culture",20800.0,389,191,412,26
Firstsource Solutions,https://www.ambitionbox.com/overview/first-source-overview,BPO,3.4,6200.0,Bengaluru,75,,"Promotions, Salary, Company Culture",25500.0,384,67,585,14
Siemens,https://www.ambitionbox.com/overview/siemens-india-overview,Industrial Automation,4.0,6100.0,Bengaluru,165,"Work Life Balance, Job Security, Company Culture",,35600.0,530,49,657,13
Tata Capital,https://www.ambitionbox.com/overview/tata-capital-overview,NBFC,4.0,6100.0,Mumbai,485,"Job Security, Skill Development, Company Culture",,17100.0,310,5.9k,293,24
Apollo Hospitals,https://www.ambitionbox.com/overview/apollo-hospitals-overview,Healthcare,4.0,6100.0,Chennai,237,"Job Security, Skill Development, Company Culture",,17300.0,523,328,535,3
Shapoorji Pallonji Group,https://www.ambitionbox.com/overview/shapoorji-pallonji-overview,Engineering & Construction,4.1,6100.0,Mumbai,191,"Job Security, Company Culture, Work Life Balance",,15600.0,462,61,667,14
